,sample_size,kernel,weights,cor,res,time_outer,time_w,time_e
0,10,gaussian,"[-0.02512802  1.30930672 -1.51722139 -1.01988562 -4.66327558 -2.80531743
  1.85597431  0.42158473  0.49309038 -5.28290488]","[0.12211894 0.11792308 0.14463348 0.07166622 0.06839669 0.10373181
 0.16462029 0.1093416  0.04436431 0.06499036]","[0.43894053 0.44103846 0.42768326 0.46416689 0.46580166 0.44813409
 0.41768986 0.4453292  0.47781785 0.46750482]","[0.03121758 0.03124714 0.04730058 0.03124857 0.05134654 0.04222584
 3.02836919 5.18808722 0.01562762 0.03124738]","[0.0156281  0.         0.0347836  0.01562476 0.02914596 0.01428246
 2.02030373 3.67616653 0.         0.        ]","[0.         0.01562047 0.01251698 0.         0.         0.01198721
 0.48398447 0.96751928 0.01562762 0.        ]"
1,10,gaussian,"[ 0.43685182 -1.53411611  0.0618569   2.51579925 -3.40135672 -2.25957821
 -6.90444244  0.85816848  0.68636917  2.60258183]","[ 0.11896665  0.10728089  0.16508747  0.17107676  0.1507847   0.12387992
  0.19464231  0.03695199 -0.00408605 -0.01052107]","[0.44051667 0.44635956 0.41745626 0.41446162 0.42460765 0.43806004
 0.40267884 0.481524   0.50204303 0.50526053]","[0.0156424  3.2018609  3.68950248 3.53429794 3.49871445 0.07852983
 2.32212543 0.04729748 0.06252313 0.04729366]","[0.         1.8158865  2.25029039 2.20060301 2.25407505 0.04728675
 1.41076875 0.02015209 0.04689956 0.01762176]","[0.         0.9023304  0.81787539 0.71081161 0.7464571  0.01561999
 0.59227037 0.01562405 0.01562357 0.0140183 ]"
2,10,gaussian,"[-1.02012605  1.30699645 -0.95684565  4.75320823  2.36273897 -1.19356995
 -7.57472041  3.09940608 -1.69740002  0.59927126]","[ 0.05300862  0.12115875  0.12559963  0.10914881  0.07131196  0.0536034
  0.094932   -0.05088516 -0.02146033  0.17092568]","[0.47349569 0.43942062 0.43720018 0.44542559 0.46434402 0.4731983
 0.452534   0.52544258 0.51073017 0.41453716]","[1.58479881 0.07403255 0.1098206  5.00518584 0.06250405 0.07815528
 0.05742288 0.04731202 0.10981822 4.92664671]","[1.15524721 0.01562119 0.08017397 3.22302341 0.0312562  0.04689813
 0.02614474 0.0201664  0.0645504  3.24119902]","[0.         0.01562762 0.01562548 0.98706818 0.01562405 0.01562977
 0.01565123 0.01152205 0.01562262 0.7788558 ]"
3,10,gaussian,"[-0.24838419  2.30652908 -1.06940267  0.83584198  1.47680915 -4.92668549
 -2.66395841  0.57231938  1.49320877 -1.3012662 ]","[0.11011127 0.11473566 0.11435889 0.16186068 0.08057193 0.04758441
 0.09964528 0.04006628 0.0443343  0.1762868 ]","[0.44494436 0.44263217 0.44282055 0.41906966 0.45971404 0.47620779
 0.45017736 0.47996686 0.47783285 0.4118566 ]","[0.03169394 0.04687881 0.06252408 4.29912281 0.06294346 0.04687452
 0.04731226 0.8467772  0.06294417 0.72189212]","[0.00702095 0.         0.03125048 2.49352622 0.0312748  0.03124571
 0.00702095 0.62666392 0.04732394 0.2315824 ]","[0.         0.03125453 0.         1.00083232 0.01562619 0.
 0.00901675 0.08805108 0.01562023 0.43887901]"
4,10,gaussian,"[ 0.84895956  1.71749703 -1.12624562 -6.15030854 -2.24411277 -1.20191243
  2.68898835  0.41266351  3.0551851  -1.27404743]","[ 0.05667997  0.1375605   0.12644538  0.0977104   0.14135423  0.09770345
  0.15710532 -0.03884781 -0.00759018 -0.1304884 ]","[0.47166001 0.43121975 0.43677731 0.4511448  0.42932289 0.45114827
 0.42144734 0.51942391 0.50379509 0.5652442 ]","[1.34914255 0.04729724 5.7584095  4.00041652 0.07856607 0.0629096
 0.06252575 0.04731131 0.07854509 0.10980678]","[0.89183235 0.         3.55319476 2.30556965 0.05691886 0.01551819
 0.03127742 0.01562333 0.06291842 0.07853532]","[0.         0.01561618 1.36112165 1.03669477 0.015625   0.01562452
 0.         0.00952029 0.01562667 0.01562166]"
5,10,gaussian,"[ 0.47612023  3.16330764 -1.88246678 -5.35493138 -5.44056957  1.25341234
  3.57033438 -0.78638892 -0.3938102   1.11142398]","[0.11361125 0.11345278 0.10318386 0.0682743  0.11548635 0.1108174
 0.14188926 0.02411345 0.19188971 0.11505858]","[0.44319437 0.44327361 0.44840807 0.46586285 0.44225683 0.4445913
 0.42905537 0.48794328 0.40405514 0.44247071]","[0.01564097 0.09418893 0.0785675  0.25131631 3.67785931 0.02867436
 3.13874912 0.03166485 0.23529291 0.53290415]","[0.         0.05391836 0.01562572 0.20240927 2.23118401 0.02867436
 1.95502758 0.01562619 0.17276382 0.18839955]","[0.         0.01562071 0.0156486  0.01562595 0.9657023  0.
 0.77835178 0.01603866 0.04687858 0.34450459]"
6,10,gaussian,"[ 0.79671925  0.81387403 -0.52564915 -6.08322596 -1.06652543 -1.23615509
  1.50867912  4.76066525  1.01715213 -1.32371097]","[0.11532629 0.11801739 0.11157472 0.06048063 0.17302217 0.09775846
 0.10124972 0.04379404 0.03042824 0.02290674]","[0.44233686 0.4409913  0.44421264 0.46975968 0.41348891 0.45112077
 0.44937514 0.47810298 0.48478588 0.48854663]","[0.01565552 0.14106441 0.06292439 0.06292224 3.74999142 0.05489397
 3.05938363 0.0316751  0.03124714 0.04729605]","[0.01565552 0.06251645 0.04178762 0.04728961 2.04025126 0.02364421
 1.9909749  0.         0.01561403 0.03125334]","[0.00000000e+00 1.56290531e-02 2.11367607e-02 0.00000000e+00
 1.19927049e+00 1.56223774e-02 6.59876823e-01 1.56259537e-02
 0.00000000e+00 1.01613998e-03]"
7,10,gaussian,"[-0.43693821  4.10645929 -1.27269747 -5.02389481 -3.22489153 -1.10858551
  0.94904749  1.85655311  0.90991402 -1.81319074]","[ 0.12944927  0.11376905  0.13758917  0.13244696  0.0758533   0.16568381
  0.04168397  0.08887759  0.10651002 -0.0017951 ]","[0.43527537 0.44311548 0.43120541 0.43377652 0.46207335 0.41715809
 0.47915802 0.45556121 0.44674499 0.50089755]","[0.01562381 0.03124905 0.02616024 0.03124785 0.03165483 0.03125215
 0.03326797 0.04531741 0.01563597 0.04731417]","[0.01562381 0.01562572 0.         0.         0.02013898 0.01562452
 0.00201964 0.         0.         0.03168583]","[0.         0.         0.         0.         0.01151586 0.
 0.         0.01565099 0.         0.        ]"
8,10,gaussian,"[ 0.19614239 -0.06816109 -0.54478823 -4.8064274  -4.43969942 -2.82472257
  3.78963107  3.31834534  1.54705446 -1.00548594]","[0.12720349 0.07099612 0.1222871  0.12787748 0.07787962 0.14616815
 0.16296753 0.13113557 0.03143839 0.00734557]","[0.43639825 0.46450194 0.43885645 0.43606126 0.46106019 0.42691593
 0.41851623 0.43443221 0.48428081 0.49632721]","[0.01562667 3.92136884 0.06253409 0.03169394 0.04687309 3.97193146
 0.06296587 4.99119639 0.04694366 0.06294537]","[0.         3.4701097  0.04688001 0.0156486  0.03125405 2.39264345
 0.01562548 3.693753   0.03131104 0.03166962]","[0.         0.         0.01565409 0.00352478 0.01561904 1.13574648
 0.         0.76425147 0.01563263 0.01562476]"
9,10,gaussian,"[-0.73352078  2.58071868 -1.19279969  1.66135451 -3.10364934 -1.3184598
 -5.82643531  4.15293221  0.3204846   0.79626483]","[ 0.12801935  0.10066432  0.14889077  0.07532017  0.13508226  0.11297722
  0.0417429  -0.00764855  0.10357994  0.08249531]","[0.43599033 0.44966784 0.42555461 0.46233992 0.43245887 0.44351139
 0.47912855 0.50382427 0.44821003 0.45875235]","[0.         0.03125262 0.0316844  0.04687166 0.03166056 0.03127503
 0.01562428 0.0246582  3.02880907 0.72129107]","[0.         0.         0.01051879 0.         0.         0.01564622
 0.         0.0246582  1.85585165 0.20302415]","[0.         0.01562738 0.00551867 0.         0.         0.
 0.01562428 0.         0.54492521 0.46499109]"
