,sample_size,kernel,weights,cor,res,time_outer,time_w,time_e
0,10,gaussian,"[-0.00870239  1.25837467 -1.50079098 -1.21851185 -5.41722183 -2.66797123
  1.87455305  0.77976284  0.59479341 -4.71332055]","[0.12211894 0.11792308 0.14463348 0.07166622 0.06839669 0.10373181
 0.15951368 0.10585895 0.02693708 0.02872966]","[0.43894053 0.44103846 0.42768326 0.46416689 0.46580166 0.44813409
 0.42024316 0.44707053 0.48653146 0.48563517]","[1.56283379e-02 4.74340916e-02 6.24203682e-02 3.77635956e-02
 5.97360134e-02 5.02011776e-02 2.24468710e+02 2.21781687e+02
 6.24306202e-02 5.33959866e-02]","[0.00000000e+00 0.00000000e+00 3.12547684e-02 0.00000000e+00
 7.99083710e-03 2.15556622e-02 2.15165082e+02 2.12076102e+02
 4.68041897e-02 2.21457481e-02]","[0.         0.01562309 0.01552057 0.         0.0117352  0.
 3.69283342 3.96111298 0.         0.01562643]"
1,10,gaussian,"[ 0.0236273  -0.98623285  0.1498428  -1.09033272 -5.04203126 -3.66338689
  0.84411865 -4.01910701  1.32263886  2.13133426]","[ 0.11896665  0.10644481  0.16062494  0.14118023  0.11668049  0.0458125
  0.10537021  0.00251945  0.00731139 -0.02591151]","[0.44051667 0.44677759 0.41968753 0.42940989 0.44165975 0.47709375
 0.44731489 0.49874027 0.49634431 0.51295576]","[1.56290531e-02 2.26026511e+02 2.13538152e+02 2.10773269e+02
 4.73556519e-02 4.68816757e-02 4.73029613e-02 4.68752384e-02
 3.16588879e-02 9.53700542e-02]","[1.56290531e-02 2.17095199e+02 2.04481146e+02 2.01829799e+02
 1.71782970e-02 1.56252384e-02 1.56221390e-02 4.68752384e-02
 0.00000000e+00 7.97455311e-02]","[0.         3.68804049 3.81557608 3.7918272  0.         0.
 0.00502086 0.         0.         0.        ]"
2,10,gaussian,"[ 0.03583733 -1.1436132  -1.32250852  6.25948316 -2.39458556 -3.20219811
 -5.6622304   2.85791356 -1.10750723  1.61942359]","[0.05300862 0.12115875 0.12559963 0.09188519 0.13485891 0.08988087
 0.02001258 0.05831349 0.01567187 0.04270881]","[0.47349569 0.43942062 0.43720018 0.4540574  0.43257054 0.45505957
 0.48999371 0.47084325 0.49216406 0.4786456 ]","[9.44551301e+00 4.68738079e-02 6.29189014e-02 2.22837277e+02
 2.21648828e+02 2.35875424e+02 3.17270756e-02 6.24587536e-02
 3.58383656e-02 3.12058926e-02]","[6.04701519e+00 0.00000000e+00 3.12500000e-02 2.13221821e+02
 2.11580701e+02 2.27014030e+02 2.12080479e-02 4.68742847e-02
 4.51850891e-03 1.56259537e-02]","[0.05031967 0.         0.0160284  4.485044   4.3312819  3.59092212
 0.01051903 0.01558447 0.01565695 0.        ]"
3,10,gaussian,"[ 0.12562893 -1.52873879  0.15894283 -0.90661089 -5.52754163 -2.90535465
 -1.86599757  0.97302252  3.05894185  4.48143698]","[ 0.11011127  0.11473566  0.11435889  0.16248727  0.10891964  0.06273498
  0.04187834  0.02435178  0.08940764 -0.02242033]","[0.44494436 0.44263217 0.44282055 0.41875637 0.44554018 0.46863251
 0.47906083 0.48782411 0.45529618 0.51121016]","[1.60384178e-02 3.12712193e-02 3.12511921e-02 2.13939947e+02
 2.27453532e+02 4.72769737e-02 3.12447548e-02 4.83958721e-02
 4.57894802e-02 7.85665512e-02]","[2.02059746e-03 0.00000000e+00 1.56166553e-02 2.03854353e+02
 2.18616402e+02 3.16338539e-02 0.00000000e+00 1.56171322e-02
 4.57894802e-02 6.29351139e-02]","[0.         0.03127122 0.         4.18084931 3.52605438 0.
 0.03124475 0.         0.         0.        ]"
4,10,gaussian,"[ 0.32626297 -0.3488301  -0.55586518 -1.01870571 -1.99432906 -2.58536264
 -2.5386961   1.1226062   3.34295799 -4.25332403]","[ 0.05667997  0.1375605   0.1227654   0.14432374  0.10205477  0.1614764
 -0.01736523  0.10888525  0.13013147  0.17267654]","[0.47166001 0.43121975 0.4386173  0.42783813 0.44897262 0.4192618
 0.50868261 0.44555737 0.43493426 0.41366173]","[8.38005877e+00 2.96673775e-02 2.26210587e+02 2.07578355e+02
 3.12726498e-02 2.93482280e+00 4.73034382e-02 4.68785763e-02
 9.42125320e-02 2.24040913e+02]","[4.95390844e+00 0.00000000e+00 2.16410299e+02 1.98717600e+02
 0.00000000e+00 2.21130919e+00 4.73034382e-02 1.56207085e-02
 7.85934925e-02 2.15265358e+02]","[0.01301861 0.         4.23242044 3.84099817 0.01568317 0.66048145
 0.         0.         0.         3.33767366]"
5,10,gaussian,"[-0.6987855   0.86125503 -0.48718378  1.23822327 -2.88924768 -3.27719855
 -3.59408938 -1.3152865   1.41791751 -4.3446998 ]","[ 0.11361125  0.06839531 -0.05647303  0.06855613  0.0923402   0.03931978
  0.07503587  0.04589579  0.02451411  0.07767801]","[0.44319437 0.46580234 0.52823652 0.46572194 0.4538299  0.48034011
 0.46248207 0.4770521  0.48774295 0.46116099]","[1.56698227e-02 1.72863245e-01 2.41700745e+00 4.68671322e-02
 3.16936970e-02 3.05951810e+00 2.09476707e+02 6.04238510e-02
 3.16729546e-02 6.25212193e-02]","[0.00000000e+00 1.26596451e-01 2.11287570e+00 1.56273842e-02
 2.56683826e-02 2.30595112e-01 2.00756373e+02 4.47304249e-02
 8.52632523e-03 3.12488079e-02]","[0.         0.04626679 0.24318862 0.         0.00602531 0.06590891
 3.45475364 0.01569343 0.01562691 0.        ]"
6,10,gaussian,"[-0.27316698  0.77430203 -1.28512805  6.40432836 -2.84255775 -2.65155656
 -7.50163401  1.85409392 -0.28299804 -0.26382283]","[ 0.11532629  0.069274    0.11620179  0.06549698  0.13241727  0.1394168
  0.13710448  0.11830546 -0.00744167  0.12808952]","[0.44233686 0.465363   0.44189911 0.46725151 0.43379136 0.4302916
 0.43144776 0.44084727 0.50372083 0.43595524]","[1.60374641e-02 1.56705141e-01 2.04381069e+02 4.73225117e-02
 4.68752384e-02 2.17819788e+02 2.20239989e+02 4.68699932e-02
 4.73060608e-02 1.16123819e+00]","[1.45161152e-02 1.09813452e-01 1.97320793e+02 1.60474777e-02
 1.56269073e-02 2.09519327e+02 2.10866810e+02 0.00000000e+00
 3.82916927e-02 9.10787106e-01]","[0.         0.03127193 2.42370653 0.         0.0156219  2.81545806
 3.82983828 0.03124785 0.00901437 0.25045109]"
7,10,gaussian,"[-0.43693821  4.10645929 -1.27269747 -5.02389481 -3.22489153 -1.10858551
  0.94904749  1.85655311  0.90991402 -1.81319074]","[ 0.12944927  0.11376905  0.13758917  0.13244696  0.0758533   0.16568381
  0.04168397  0.08887759  0.10651002 -0.00179345]","[0.43527537 0.44311548 0.43120541 0.43377652 0.46207335 0.41715809
 0.47915802 0.45556121 0.44674499 0.50089673]","[0.01252151 0.03131151 0.04687095 0.02215862 0.04687309 0.04678559
 0.03125095 0.0533905  0.02516079 0.07855034]","[0.01252151 0.         0.03124785 0.0065136  0.03124928 0.03114009
 0.         0.03124714 0.00951505 0.050385  ]","[0.         0.01568675 0.01562309 0.         0.         0.
 0.01562381 0.015625   0.         0.        ]"
8,10,gaussian,"[-0.28388869 -0.13939081 -0.31133245 -4.77581022 -3.2217215   0.39124688
 -0.39730248  4.31903852  0.88108639 -4.46284668]","[ 0.12720349  0.07142306  0.10666193 -0.06274882  0.10916287  0.14421648
  0.07389545  0.07290762  0.03947673  0.16783561]","[0.43639825 0.46428847 0.44666904 0.53137441 0.44541856 0.42789176
 0.46305227 0.46354619 0.48026163 0.41608219]","[3.12514305e-02 5.27703888e+01 7.81459808e-02 6.07361507e+00
 3.12507153e-02 2.41827965e-02 6.24942780e-02 3.16803455e-02
 4.68723774e-02 2.13485193e+02]","[3.12514305e-02 4.90303645e+01 3.12473774e-02 5.29926538e+00
 1.56319141e-02 1.56533718e-02 6.24942780e-02 1.60350800e-02
 3.12526226e-02 2.05128329e+02]","[0.         0.05841851 0.01567054 0.6024785  0.         0.
 0.         0.         0.01561975 3.00818181]"
9,10,gaussian,"[-0.73356166  2.58086049 -1.1928129   1.66106622 -3.1037187  -1.3183679
 -5.8262036   4.15292464  0.32043392  0.79615198]","[ 0.12801935  0.10066432  0.14889077  0.07532017  0.13508226  0.11297722
  0.0417429  -0.00764855  0.10358621  0.0759241 ]","[0.43599033 0.44966784 0.42555461 0.46233992 0.43245887 0.44351139
 0.47912855 0.50382427 0.44820689 0.46203795]","[0.00000000e+00 3.17654610e-02 4.69000340e-02 4.72779274e-02
 3.12712193e-02 4.68726158e-02 3.16793919e-02 4.68730927e-02
 2.10206530e+02 2.29180479e+00]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.56280994e-02
 0.00000000e+00 4.68726158e-02 0.00000000e+00 0.00000000e+00
 2.01737678e+02 2.00970864e+00]","[0.         0.01870179 0.         0.         0.         0.
 0.         0.         3.14346266 0.2745719 ]"
10,10,gaussian,"[ 0.27475118 -2.15257596 -0.55447703  2.39364918 -7.17128216 -1.62667779
 -4.39341076  2.96503245  0.99050669  0.59350094]","[ 0.14799463  0.1353116   0.16855894  0.08815249  0.16748772  0.11046761
  0.07892618  0.14722298  0.09889151 -0.09507107]","[0.42600269 0.4323442  0.41572053 0.45592376 0.41625614 0.4447662
 0.46053691 0.42638851 0.45055424 0.54753554]","[1.55792236e-02 4.73144054e-02 4.68719006e-02 4.72800732e-02
 3.12712193e-02 2.42380215e+02 6.29329681e-02 3.12533379e-02
 2.46489908e+02 2.96601272e+00]","[1.55792236e-02 0.00000000e+00 0.00000000e+00 3.12507153e-02
 0.00000000e+00 2.31907508e+02 3.42941284e-02 3.12533379e-02
 2.37161102e+02 2.33486366e+00]","[0.         0.03166556 0.         0.         0.         4.28393126
 0.         0.         3.74370193 0.59989071]"
11,10,gaussian,"[-0.66693658  1.19368226 -0.69680455  0.06120202 -7.16131244 -2.43148839
 -0.99036935 -1.41046608  1.86915612  4.83264691]","[0.1450261  0.12826986 0.1334345  0.15498884 0.08540794 0.06088981
 0.13507111 0.03351653 0.1141649  0.14611684]","[0.42748695 0.43586507 0.43328275 0.42250558 0.45729603 0.46955509
 0.43246445 0.48324173 0.44291755 0.42694158]","[3.12545300e-02 6.25264645e-02 7.85777569e-02 3.56228113e+00
 2.01593044e+02 4.64413953e+00 5.79552650e-02 7.85136223e-02
 3.45195580e+00 2.21384155e+02]","[0.00000000e+00 1.56283379e-02 3.12364101e-02 2.70946360e+00
 1.92556055e+02 3.90762377e+00 2.67100334e-02 6.28907681e-02
 3.10681510e+00 2.12902665e+02]","[0.         0.03127122 0.01562977 0.76016402 3.75346589 0.64935374
 0.         0.01562285 0.2670145  3.27963614]"
12,10,gaussian,"[ 0.16786628 -0.37047327 -0.50311374 -3.58215849 -5.929043   -2.73686707
  3.61181053 -2.52879925  0.30745125  3.31341849]","[0.15042823 0.07443402 0.14409097 0.14962708 0.02852766 0.07366934
 0.10822811 0.1170241  0.13117748 0.03310639]","[0.42478588 0.46278299 0.42795452 0.42518646 0.48573617 0.46316533
 0.44588594 0.44148795 0.43441126 0.4834468 ]","[1.56490803e-02 2.40531385e+02 2.13455933e+02 3.37327838e+00
 7.61246443e-01 4.73124981e-02 2.83934927e+00 6.29379749e-02
 2.16356518e+02 4.73194122e-02]","[0.00000000e+00 2.30277864e+02 2.04928804e+02 2.79415607e-01
 5.02940893e-01 9.52458382e-03 2.07021236e-01 1.56254768e-02
 2.08137012e+02 3.12786102e-02]","[0.         4.47684193 3.23824048 0.2066462  0.20298076 0.01562691
 0.04686904 0.0160358  3.19561934 0.01251984]"
13,10,gaussian,"[-0.23951811 -2.77321381 -0.5076815   5.66169967 -1.68427977 -3.38565098
 -3.42361487 -0.03438631 -2.37640255  1.67548786]","[ 0.16177404  0.08623132  0.14897537  0.05233843  0.13563326  0.07876662
  0.15128359  0.05670199 -0.01225056  0.13266266]","[0.41911298 0.45688434 0.42551232 0.47383078 0.43218337 0.46061669
 0.42435821 0.47164901 0.50612528 0.43366867]","[0.00000000e+00 2.26755878e+02 4.72834110e-02 4.69081402e-02
 2.30715111e+02 3.12507153e-02 7.30488300e-02 3.16610336e-02
 3.12726498e-02 2.41481473e+02]","[0.00000000e+00 2.18001776e+02 1.56710148e-02 1.56278610e-02
 2.22558960e+02 0.00000000e+00 2.61731148e-02 0.00000000e+00
 1.56469345e-02 2.32033977e+02]","[0.         3.43407297 0.         0.01564908 3.3643558  0.01562548
 0.01562095 0.         0.         3.57748246]"
