,sample_size,kernel,weights,cor,res,time_outer,time_w,time_e
0,10,gaussian,"[-0.2155805   1.34607601 -1.4027211   5.55089518 -2.88171935 -2.877083
 -6.56391709  3.06672286  0.31351438  2.04579564]","[ 1.22118944e-01  1.17923084e-01  1.44675450e-01  7.16241153e-02
  6.84674253e-02  1.03829627e-01  2.99026080e-02  1.16828216e-04
 -3.55548806e-02  5.77745835e-02]","[0.43894053 0.44103846 0.42766228 0.46418794 0.46576629 0.44808519
 0.4850487  0.49994159 0.51777744 0.47111271]","[0.01565409 0.04687071 0.05491805 0.03166795 0.07351112 0.037956
 0.04686618 0.04731274 0.04689622 0.03827214]","[0.01565409 0.03125    0.03127456 0.         0.02675104 0.0059979
 0.01561737 0.         0.0156436  0.        ]","[0.         0.01562071 0.00801659 0.01562071 0.01825452 0.00800061
 0.         0.         0.01562834 0.        ]"
1,10,gaussian,"[-0.28122633  0.44150393 -0.77012533 -2.00189609 -5.69135859 -0.92969668
  0.81432477 -3.81938424  0.29541473 -3.64632971]","[ 0.11896665  0.04507603  0.10013127  0.03163154 -0.04920437  0.08510165
  0.17500155  0.09333561  0.04507755  0.07755221]","[0.44051667 0.47746199 0.44993437 0.48418423 0.52460218 0.45744917
 0.41249923 0.4533322  0.47746122 0.4612239 ]","[0.01565123 0.09418201 0.04687428 0.04730773 0.06291223 0.04689884
 0.47041535 0.03124356 0.04729486 0.03125024]","[0.01565123 0.03428173 0.         0.         0.02214217 0.03127313
 0.03127646 0.         0.03064585 0.        ]","[0.         0.02864861 0.         0.00351214 0.01562905 0.01562572
 0.39185262 0.01562285 0.01562595 0.01562572]"
2,10,gaussian,"[-0.04048377  1.09926881 -1.033587    3.57282558 -1.93584739 -3.03949496
 -6.55376307  3.52069983  2.14812623  2.85380072]","[ 0.05300997  0.12115935  0.12557915  0.20004277  0.0316424   0.07446392
  0.0834617  -0.03148165 -0.04276461 -0.03732273]","[0.47349501 0.43942033 0.43721042 0.39997862 0.4841788  0.46276804
 0.45826915 0.51574082 0.5213823  0.51866136]","[0.06293392 0.04687786 0.06293488 0.31380868 0.07854748 0.06295037
 0.0629077  0.03125215 0.04728675 0.04689407]","[0.01603293 0.         0.         0.08819222 0.03124881 0.04180121
 0.01501536 0.         0.02463675 0.01562262]","[0.         0.01562381 0.00451612 0.18035388 0.00451469 0.01562285
 0.01562262 0.01562381 0.01562905 0.01562524]"
3,10,gaussian,"[ 0.22267458 -0.22679842 -0.55434635  4.99254901  2.29471207 -3.91159381
 -6.7123588   3.1956742   0.02019794  3.16934569]","[0.11011127 0.11473566 0.11431647 0.15753832 0.08704464 0.01158021
 0.08876984 0.02209248 0.03206453 0.03443742]","[0.44494436 0.44263217 0.44284177 0.42123084 0.45647768 0.49420989
 0.45561508 0.48895376 0.48396773 0.48278129]","[0.02864909 0.03127384 0.06291246 0.10983872 0.06239557 0.04687667
 0.03777838 0.03127265 0.03124261 0.03127098]","[0.         0.01562858 0.01914811 0.05339694 0.03124833 0.01563001
 0.01562262 0.01562524 0.01562381 0.        ]","[0.         0.01564527 0.01561427 0.         0.         0.01562309
 0.         0.01564741 0.0156188  0.0156455 ]"
4,10,gaussian,"[-1.23887002  1.24890175  0.10781033 -6.38197321 -4.73503455  2.4283884
  0.87303976 -0.48641719  0.94663142 -1.10540626]","[0.05668007 0.13756052 0.114512   0.12080432 0.1069786  0.16380012
 0.00337291 0.01916885 0.12364795 0.05690848]","[0.47165996 0.43121974 0.442744   0.43959784 0.4465107  0.41809994
 0.49831355 0.49041558 0.43817603 0.47154576]","[0.04990387 0.03127742 0.09418392 0.07855368 0.0312469  0.03166318
 0.03125119 0.04731441 0.06250381 0.03165627]","[0.01561332 0.         0.05588841 0.03166819 0.         0.
 0.01562357 0.0312674  0.0156219  0.01763797]","[0.         0.01564717 0.         0.01562166 0.         0.
 0.01562762 0.         0.         0.        ]"
5,10,gaussian,"[ 1.72316879  0.0349546  -1.51893306 -3.6881749  -5.35979476 -1.79246911
  4.67674388 -0.39689123  1.21041092  1.73650083]","[0.11361125 0.1205124  0.15218389 0.07462059 0.08699762 0.1017478
 0.09058078 0.13536087 0.04342157 0.04145927]","[0.44319437 0.4397438  0.42390806 0.46268971 0.45650119 0.4491261
 0.45470961 0.43231957 0.47828922 0.47927036]","[0.015625   0.03124833 0.11026216 0.082654   0.02716303 0.03124642
 0.03166175 0.25087643 0.03167534 0.03124928]","[0.         0.01562572 0.02364159 0.03577757 0.011518   0.01561928
 0.00551558 0.0851438  0.00301504 0.01562214]","[0.015625   0.01562262 0.0689466  0.01562428 0.         0.
 0.01562333 0.13446379 0.01301718 0.        ]"
6,10,gaussian,"[ 0.04209796 -2.03160747 -0.67370741  2.95116864 -7.09178621 -1.0229176
 -3.85337703  1.8129437  -0.5375152  -1.9980586 ]","[0.11532629 0.13222217 0.14389722 0.10064694 0.14111828 0.15341237
 0.12571252 0.14265754 0.04506637 0.00772771]","[0.44233686 0.43388891 0.42805139 0.44967653 0.42944086 0.42329381
 0.43714374 0.42867123 0.47746681 0.49613615]","[0.03127313 0.04379463 0.05639648 0.07814455 0.04679751 0.51780152
 0.53763127 0.03127098 0.03124738 0.04732323]","[0.01562405 0.01565289 0.03124619 0.03125048 0.01562285 0.01565123
 0.05580044 0.         0.03124738 0.01562572]","[0.         0.01252007 0.         0.01562285 0.         0.43963766
 0.46087956 0.01564527 0.         0.        ]"
7,10,gaussian,"[-0.49024299  4.36323166 -1.37517376 -4.23144194 -2.426083   -1.11323431
  0.01035294  2.24289467  0.64582959 -2.05496016]","[0.12944927 0.11376905 0.13758917 0.13027888 0.07676682 0.16357447
 0.04297883 0.09535256 0.15164419 0.05842123]","[0.43527537 0.44311548 0.43120541 0.43486056 0.46161659 0.41821277
 0.47851058 0.45232372 0.42417791 0.47078938]","[0.01562572 0.03166652 0.03125429 0.04679513 0.04687643 0.03777719
 0.03127146 0.03124833 0.41152477 0.        ]","[0.         0.         0.01562643 0.         0.         0.0156219
 0.01562309 0.01562095 0.02116656 0.        ]","[0.         0.02514505 0.         0.01562381 0.03124928 0.
 0.01564837 0.01562738 0.31381822 0.        ]"
8,10,gaussian,"[ 0.64723126 -2.09291488 -0.05285448 -0.34467048 -1.62976092 -4.21307869
  0.55043897 -3.81946984  3.45784387  1.77123498]","[0.12720349 0.08865284 0.10815376 0.07740665 0.13361644 0.12056126
 0.08133989 0.03861518 0.05151739 0.05041215]","[0.43639825 0.45567358 0.44592312 0.46129667 0.43319178 0.43971937
 0.45933006 0.48069241 0.4742413  0.47479392]","[0.03124928 0.09418821 0.09418678 0.03167677 0.03124475 0.03166533
 0.04690218 0.0312562  0.04278946 0.0312469 ]","[0.03124928 0.01562881 0.02963758 0.         0.         0.00201607
 0.03127337 0.         0.01151633 0.        ]","[0.         0.03166175 0.03124857 0.01562452 0.01562142 0.
 0.         0.01562309 0.         0.01562119]"
9,10,gaussian,"[-0.60523235  0.34215898 -0.29564515  2.15076925 -0.42221615  0.01972163
 -7.66905412  3.86159844 -0.3109431   2.63261529]","[ 0.12801935  0.10066432  0.14889077  0.06093453  0.21369116  0.15887686
  0.04608609  0.02083108 -0.01501186  0.04775857]","[0.43599033 0.44966784 0.42555461 0.46953273 0.39315442 0.42056157
 0.47695695 0.48958446 0.50750593 0.47612071]","[0.01052165 0.0312736  0.0312531  0.07855868 0.28254437 0.04076338
 0.06252003 0.04678845 0.04687166 0.03165841]","[0.         0.01562452 0.01562643 0.03064156 0.03127384 0.0251379
 0.01562548 0.01562381 0.01562452 0.        ]","[0.         0.01564908 0.         0.0156312  0.24425316 0.
 0.01564503 0.         0.0156219  0.0160315 ]"
