,AV,SD,IR,VaR,MDD,P2T,P2P,P2PL,Calmar,Stability,Omega,Sortino,TailRatio,CSR,Kurtosis
50assets_sig_mtm,144.27,286.73,0.5,1.33,-3.73,78.0,141.0,148.0,0.39,0.71,1.08,0.72,0.99,1.07,0.62
50assets_sig_mcd,32.85,708.65,0.05,3.28,-9.76,468.0,,636.0,0.03,0.15,1.01,0.07,1.0,1.01,2.42
