,AV,SD,IR,VaR,MDD,P2T,P2P,P2PL,Calmar,Stability,Omega,Sortino,TailRatio,CSR,Kurtosis
50assets_sig_rev,-262.08,465.04,-0.56,2.16,-12.32,408.0,,746.0,-0.21,0.45,0.91,-0.78,1.02,0.93,1.44
50assets_sig_pfrevers,230.29,820.61,0.28,3.8,-7.5,77.0,153.0,287.0,0.31,0.49,1.05,0.43,1.02,1.07,13.02
50assets_sig_prs,457.63,648.77,0.71,3.01,-6.09,44.0,196.0,196.0,0.75,0.9,1.12,1.04,1.09,1.22,0.61
