,sample_size,kernel,weights,cor,res,time_outer,time_w,time_e
16,10,gaussian,"[-0.19386001  0.22898943 -0.10744425  0.06914419 -0.09137075 -0.0746388
  0.20905101  0.12585541 -0.64135434 -0.29940025]","[ 0.12200015  0.18830022  0.22172472  0.12686885  0.05349844  0.16540244
  0.08263123  0.00361537  0.061113   -0.03910186]","[0.43899992 0.40584989 0.38913764 0.43656557 0.47325078 0.41729878
 0.45868439 0.49819232 0.4694435  0.51955093]","[0.01562834 0.07856703 0.15714526 0.0468719  0.12586451 0.29819059
 0.07857895 0.04686546 0.04734635 0.07853913]","[0.01562834 0.02266717 0.06252503 0.01562023 0.01152468 0.05181432
 0.0156219  0.03124857 0.01666045 0.04729319]","[0.         0.00902581 0.03719068 0.         0.05181885 0.19948173
 0.01562738 0.         0.0306859  0.        ]"
17,10,gaussian,"[ 0.02840415  0.19016894 -0.14832512  0.04689391 -0.11707661 -0.4131167
  0.27443354 -0.15733068 -0.04346973 -0.39094446]","[0.03727146 0.13124074 0.07191456 0.13053362 0.14234748 0.16917596
 0.07608627 0.0562063  0.02180133 0.01442093]","[0.48136427 0.43437963 0.46404272 0.43473319 0.42882626 0.41541202
 0.46195687 0.47189685 0.48909933 0.49278954]","[0.06291056 0.04690218 0.07855725 0.09417844 0.0625124  0.4511373
 0.04687357 0.04733086 0.06292462 0.04687309]","[0.01560187 0.01562405 0.00351787 0.04079318 0.01562643 0.04686546
 0.03125429 0.01562428 0.         0.        ]","[0.         0.01565361 0.01562548 0.         0.         0.34183717
 0.         0.01352644 0.01562357 0.        ]"
18,10,gaussian,"[ 0.31858589 -0.06034847 -0.12258595 -0.12618221  0.10675556 -0.03242224
  0.52462447  0.24637862 -0.14408756 -0.21992324]","[0.12668608 0.07923498 0.16099185 0.22916838 0.0434893  0.16573201
 0.11433978 0.04627732 0.0058258  0.04630571]","[0.43665696 0.46038251 0.41950408 0.38541581 0.47825535 0.417134
 0.44283011 0.47686134 0.4970871  0.47684715]","[0.01603436 0.09417224 0.04690409 0.15712833 0.03125548 0.41654086
 0.04687572 0.07859468 0.06294036 0.03125167]","[0.01452041 0.0422647  0.03124881 0.07705307 0.         0.03170991
 0.0156219  0.03125978 0.0156219  0.        ]","[0.         0.01563358 0.         0.04382157 0.01562881 0.32244086
 0.01562977 0.         0.03166771 0.03125167]"
19,10,gaussian,"[ 0.2797768  -0.29470395 -0.17501508  0.53221539 -0.19030967 -0.04780591
 -0.12879043  0.10374754  0.34004514  0.01981727]","[0.08243608 0.14353366 0.13764583 0.26505242 0.0548106  0.09308026
 0.07020591 0.03356364 0.03262613 0.11576022]","[0.45878196 0.42823317 0.43117709 0.36747379 0.4725947  0.45345987
 0.46489705 0.48321818 0.48368693 0.44211989]","[0.04690766 0.06295133 0.03124833 0.20401931 0.04730082 0.08014178
 0.09391141 0.04687524 0.06294155 0.34507394]","[0.         0.00703144 0.03124833 0.03127241 0.0316782  0.
 0.04701281 0.01562905 0.         0.04690886]","[0.         0.01562977 0.         0.11080837 0.01562262 0.04889727
 0.01564908 0.015625   0.01603961 0.25129414]"
20,10,gaussian,"[ 0.17654404  0.1048343  -0.18403566  0.49615033  0.51182889 -0.60166955
 -0.34659947 -0.05664752  0.07196948 -0.26837898]","[0.09016543 0.14054407 0.11986391 0.06703513 0.02588642 0.11660919
 0.07587837 0.19606627 0.18272176 0.16374799]","[0.45491728 0.42972797 0.44006805 0.46648243 0.48705679 0.4416954
 0.46206082 0.40196686 0.40863912 0.418126  ]","[0.0559268  0.06294513 0.04687214 0.09419775 0.07855868 0.06239748
 0.10982943 0.37674403 0.09416819 0.28257895]","[0.00902462 0.01562285 0.         0.03480172 0.03166413 0.03124642
 0.01562524 0.03827453 0.03125262 0.06541443]","[0.         0.01562572 0.03125787 0.         0.01561666 0.01562548
 0.02214527 0.27555895 0.03124404 0.14661288]"
21,10,gaussian,"[ 0.16589619 -0.04587294 -0.12185287  0.03017767 -0.20749988 -0.29375687
 -0.06888193  0.16911057 -0.25801916  0.57553493]","[0.11830193 0.14599259 0.07369786 0.04903457 0.054644   0.15785663
 0.13210676 0.03318091 0.00769104 0.18643131]","[0.44084903 0.42700371 0.46315107 0.47548272 0.472678   0.42107168
 0.43394662 0.48340954 0.49615448 0.40678434]","[0.03124857 0.07856154 0.05133843 0.04690552 0.0629406  0.43927741
 0.04731655 0.1093123  0.07856917 0.34549665]","[0.01562309 0.03124714 0.01686096 0.         0.03124356 0.09064317
 0.03127933 0.06240296 0.01604891 0.04729009]","[0.         0.03168774 0.         0.01565003 0.01052189 0.30235863
 0.01603723 0.03125215 0.03129745 0.24231505]"
22,10,gaussian,"[ 0.16302763 -0.26118252 -0.15328754  0.28563993 -0.32718927 -0.18846028
 -0.43371476 -0.18402417  0.03681087 -0.79374377]","[0.14095043 0.15068161 0.15278439 0.13984359 0.10647084 0.04705706
 0.12996968 0.14810623 0.13462192 0.13907619]","[0.42952478 0.42465919 0.42360781 0.43007821 0.44676458 0.47647147
 0.43501516 0.42594689 0.43268904 0.4304619 ]","[0.03124857 0.06295109 0.59637761 0.42594337 0.04029179 0.04687309
 0.06554365 0.06292605 0.47043061 0.03127694]","[0.         0.         0.03676534 0.06247282 0.         0.01562238
 0.00302124 0.04379463 0.09067297 0.01562715]","[0.         0.04729199 0.5168469  0.29974985 0.0090189  0.
 0.         0.01913142 0.36058736 0.        ]"
23,10,gaussian,"[ 0.16535463  0.00394023 -0.20362569 -0.00198175  0.10323611 -0.16830826
  0.15296626  0.35308769 -0.13390756 -0.25696845]","[ 0.13598497  0.13621045  0.11448172  0.08468336  0.05452976  0.09538791
  0.06295918  0.08486637  0.01478565 -0.00108858]","[0.43200751 0.43189477 0.44275914 0.45765832 0.47273512 0.45230605
 0.46852041 0.45756682 0.49260718 0.50054429]","[0.015625   0.06954074 0.04732633 0.05239296 0.10985065 0.48081923
 0.07815361 0.09316874 0.04030061 0.04687285]","[0.015625   0.         0.         0.02114296 0.02015042 0.04687858
 0.03127956 0.         0.02467585 0.01563239]","[0.         0.03127432 0.         0.01562357 0.01561904 0.38605261
 0.03125811 0.06192279 0.         0.01562214]"
24,10,gaussian,"[ 8.04223158e-02  4.14165599e-02 -2.71409111e-01  3.88456034e-01
 -5.94133136e-01 -1.60105185e-01  5.16145918e-01 -2.30856768e-01
  2.35551138e-04  2.39889614e-01]","[0.10100261 0.14035911 0.16180082 0.25536067 0.01559923 0.17433977
 0.13713393 0.11149884 0.15799079 0.03205586]","[0.4494987  0.42982045 0.41909959 0.37231967 0.49220038 0.41283011
 0.43143303 0.44425058 0.4210046  0.48397207]","[0.08163953 0.08767891 0.06252313 0.28206491 0.049896   0.04690027
 0.48659062 0.06293964 0.439255   0.03810096]","[0.05040121 0.         0.01562715 0.05638504 0.01562285 0.01561546
 0.05079317 0.01562738 0.01564574 0.01562691]","[0.         0.0468998  0.         0.19440722 0.01562572 0.03128481
 0.37795424 0.01562166 0.31579137 0.        ]"
25,10,gaussian,"[ 0.16278965 -0.16761643 -0.19794427  0.13794743 -0.56140537 -0.19897617
  0.00434379  0.26182355 -0.26652101  0.04816489]","[0.15419984 0.13875601 0.17243003 0.03579863 0.15307195 0.03222523
 0.04501175 0.02638923 0.11850679 0.12253928]","[0.42290008 0.430622   0.41378498 0.48210068 0.42346402 0.48388739
 0.47749412 0.48680538 0.4407466  0.43873036]","[0.01894474 0.09420848 0.04729486 0.08113837 0.07555318 0.0941937
 0.0479157  0.05239391 0.05741906 0.28257227]","[0.00043511 0.01561952 0.04377532 0.01865053 0.01302576 0.03127933
 0.00102043 0.03125143 0.02614498 0.05839658]","[0.         0.06295753 0.         0.03124118 0.01565433 0.00701737
 0.01564622 0.01562357 0.01565003 0.16275334]"
26,10,gaussian,"[ 0.03387133 -0.32778579 -0.1208691   0.51175252 -0.23502865 -0.41019612
 -0.32252665 -0.60060845  0.10898947 -0.0291673 ]","[0.16108091 0.09654634 0.13836933 0.10764139 0.21355691 0.0970127
 0.13055526 0.10051235 0.04291259 0.14830266]","[0.41945955 0.45172683 0.43081533 0.4461793  0.39322154 0.45149365
 0.43472237 0.44974383 0.4785437  0.42584867]","[0.03125143 0.1254704  0.56511283 0.06249881 0.53518414 0.07854891
 0.03125572 0.04732203 0.0468812  0.37625146]","[0.01562166 0.06704497 0.04026771 0.03125358 0.03777289 0.03125381
 0.01562905 0.00651813 0.01562357 0.01565266]","[0.         0.04690647 0.45281005 0.         0.40361357 0.01562476
 0.01562667 0.00952387 0.01562762 0.30038261]"
27,10,gaussian,"[ 0.061498   -0.2145856  -0.15495164  0.17342147 -0.56156045  0.06028977
 -0.10745125  0.01977543 -0.24516242 -0.22831956]","[0.09902248 0.10423476 0.15055822 0.1429599  0.0278918  0.08853269
 0.09389158 0.07984152 0.04038164 0.04316442]","[0.45048876 0.44788262 0.42472089 0.42852005 0.4860541  0.45573366
 0.45305421 0.46007924 0.47980918 0.47841779]","[0.07856727 0.10983872 0.04179406 0.39240551 0.04687381 0.04732704
 0.03125095 0.04730582 0.04687905 0.04732203]","[0.04690099 0.04691267 0.01565218 0.04528809 0.01562953 0.01562881
 0.01562047 0.02616382 0.         0.        ]","[0.         0.03168488 0.01052141 0.28258705 0.         0.
 0.01563048 0.01562572 0.04687905 0.01665068]"
28,10,gaussian,"[ 0.05509639 -0.38049818 -0.08844985 -0.11358923  0.14245221  0.06660464
  0.48345921 -0.30524994 -0.31207772 -0.64792856]","[0.12124767 0.04504489 0.13358788 0.11137335 0.09821227 0.02224276
 0.06654719 0.262514   0.06458478 0.09903961]","[0.43937617 0.47747756 0.43320606 0.44431332 0.45089386 0.48887862
 0.46672641 0.368743   0.46770761 0.45048019]","[0.01753902 0.12586355 0.06253123 0.06294084 0.07855844 0.04687476
 0.04731059 0.31384635 0.03776765 0.23529172]","[0.01753902 0.05691957 0.03128529 0.04579997 0.03166962 0.03124881
 0.03127003 0.04327726 0.0221417  0.07554483]","[0.         0.02667117 0.01562166 0.01714087 0.01561737 0.
 0.00251627 0.20802689 0.01562595 0.1284833 ]"
29,10,gaussian,"[ 0.01082997  0.27124787 -0.22913789  0.06965873 -0.5558071   0.21039457
 -0.02460849 -0.49754245 -0.10097112 -0.50948309]","[0.07970349 0.05791724 0.20785365 0.12266261 0.09888533 0.17234864
 0.11922865 0.09184707 0.07274458 0.04485225]","[0.46014825 0.47104138 0.39607317 0.43866869 0.45055733 0.41382568
 0.44038567 0.45407647 0.46362771 0.47757388]","[0.06293464 0.12544322 0.04733253 0.06250525 0.03579593 0.71027541
 0.4236629  0.07654667 0.04732203 0.04687119]","[0.06293464 0.04730082 0.01562881 0.03125167 0.         0.08061314
 0.07404709 0.01564884 0.01564956 0.01562619]","[0.         0.03124809 0.00552464 0.         0.0156467  0.62966228
 0.32043409 0.04527998 0.01604748 0.01562262]"
30,10,gaussian,"[ 0.03659167  0.02980286 -0.17680804  0.37615428 -0.03724802  0.16325828
  0.18763657 -0.31123718 -0.2827368  -0.26464234]","[0.06735331 0.13322585 0.14454108 0.12537985 0.12283838 0.04894423
 0.05563173 0.13210828 0.07978334 0.06533021]","[0.46632335 0.43338707 0.42772946 0.43731007 0.43858081 0.47552788
 0.47218414 0.43394586 0.46010833 0.46733489]","[0.08264589 0.04279685 0.06294203 0.07915187 0.04631066 0.09418058
 0.04732275 0.36019373 0.03169203 0.03124952]","[0.04686046 0.01151776 0.02114391 0.0312531  0.03068089 0.03127909
 0.02866936 0.08164477 0.00952148 0.        ]","[0.         0.01565313 0.01562667 0.03125119 0.         0.02263951
 0.01563025 0.21611691 0.         0.        ]"
31,10,gaussian,"[ 0.01192668 -0.11805957 -0.10632079 -0.1986682  -0.06985541  0.20658571
  0.38999399 -0.07011062 -0.57083952 -0.12761375]","[0.06257939 0.06459671 0.19270438 0.1544149  0.07290235 0.09324745
 0.01590347 0.06891368 0.07172531 0.09862054]","[0.46871031 0.46770164 0.40364781 0.42279255 0.46354883 0.45337628
 0.49204826 0.46554316 0.46413734 0.45068973]","[0.06293797 0.07856655 0.03390789 0.03165817 0.04687595 0.0316577
 0.08113909 0.02867103 0.03124642 0.31382966]","[0.01916194 0.03124738 0.01827884 0.00952029 0.01562905 0.
 0.01562166 0.         0.01562452 0.01454735]","[0.         0.01562548 0.         0.0065186  0.015625   0.01562023
 0.01562572 0.         0.0156219  0.23674941]"
32,10,gaussian,"[ 0.02875677  0.34779745 -0.21775747 -0.09321249  0.11411294 -0.05134585
  0.04154132 -0.11794846 -0.38314207  0.12217869]","[ 0.13520308  0.19538786  0.02728291  0.18563075  0.09434984  0.01125147
  0.05366204  0.06911358 -0.01483657 -0.00091795]","[0.43239846 0.40230607 0.48635855 0.40718462 0.45282508 0.49437426
 0.47316898 0.46544321 0.50741828 0.50045898]","[0.03127503 0.16470551 0.07815361 0.03126979 0.07854033 0.04690337
 0.06293845 0.06249952 0.06192064 0.04730034]","[0.0156498  0.07814837 0.03125119 0.         0.03577685 0.01562548
 0.04731727 0.0312109  0.01562262 0.        ]","[0.         0.06891704 0.01565385 0.01564622 0.01561952 0.01564717
 0.01562119 0.01562405 0.03067183 0.02263951]"
