,sample_size,kernel,weights,cor,res,time_outer,time_w,time_e
0,10,gaussian,"[ 0.06805389 -0.24307835 -0.15464535  0.42388966 -0.3492727   0.02966363
 -0.25055351 -0.19155376 -0.25839071 -0.0317599 ]","[ 0.14256911  0.15008647  0.02790994  0.1380756   0.14229186  0.06308111
  0.04259478 -0.01810886 -0.03575871  0.06385275]","[0.42871545 0.42495676 0.48604503 0.4309622  0.42885407 0.46845944
 0.47870261 0.50905443 0.51787936 0.46807362]","[0.03177643 0.04680157 0.06293988 3.8864224  4.84361625 0.12546611
 0.12588573 0.06802678 0.10839462 0.06253791]","[5.23090363e-04 1.56304836e-02 1.56259537e-02 2.71245432e+00
 2.77372813e+00 9.37752724e-02 7.86085129e-02 3.12576294e-02
 5.97958565e-02 3.12790871e-02]","[0.         0.01565146 0.00951862 0.54267931 1.42582035 0.01302099
 0.03124118 0.01562071 0.01562715 0.03125882]"
1,10,gaussian,"[-0.06570189  0.2418243  -0.07272697  0.02618099 -0.27463157 -0.38140003
 -0.07773605 -0.29422618  0.02056087  0.35150439]","[0.08626818 0.13595938 0.16827386 0.06711894 0.10256216 0.08980782
 0.06924557 0.07561418 0.07539171 0.04699985]","[0.45686591 0.43202031 0.41586307 0.46644053 0.44871892 0.45509609
 0.46537722 0.46219291 0.46230414 0.47650008]","[1.13389492 4.58361197 0.04690075 0.04732394 0.03128266 0.04729748
 0.0781517  0.04731297 0.06664324 0.01565123]","[5.79976320e-01 3.08090162e+00 0.00000000e+00 2.02250481e-03
 1.56462193e-02 1.56242847e-02 6.25312328e-02 3.16946507e-02
 3.53894234e-02 1.56512260e-02]","[0.         0.87108135 0.         0.01562762 0.         0.
 0.01562047 0.         0.03125381 0.        ]"
2,10,gaussian,"[-0.01629203 -0.11499863 -0.16497509  0.4844172  -0.39827536 -0.09695528
 -0.19618103 -0.28982403 -0.18419293 -0.03970699]","[ 0.15800654  0.13624782  0.08583287 -0.03057399  0.12885603  0.14592232
  0.04885481 -0.05397979  0.03390919 -0.03639196]","[0.42099673 0.43187609 0.45708357 0.51528699 0.43557198 0.42703884
 0.47557259 0.5269899  0.4830454  0.51819598]","[0.01562405 0.04731894 0.07856536 0.04687572 0.03168702 0.04687667
 0.09418941 0.07856417 0.04728246 0.09167147]","[0.         0.03127432 0.01561856 0.01562166 0.00501871 0.01562142
 0.04732084 0.04841995 0.01562929 0.06252074]","[0.         0.01604462 0.0473156  0.01562381 0.01101923 0.
 0.01562834 0.01452374 0.02313662 0.        ]"
3,10,gaussian,"[ 0.11670013 -0.13231076 -0.19222652  0.57359448  0.02506329 -0.29540827
 -0.42741678  0.11255185 -0.11000477  0.07824746]","[0.15739617 0.13607218 0.08984946 0.02293888 0.0776358  0.11461022
 0.06849795 0.09983448 0.02929903 0.04461937]","[0.42130191 0.43196391 0.45507527 0.48853056 0.4611821  0.44269489
 0.46575102 0.45008276 0.48535048 0.47769032]","[0.03125119 0.06292105 4.19791579 0.0625236  0.04731321 4.63748908
 0.0942018  0.09641767 0.0629468  0.07854962]","[0.         0.02764988 2.51343632 0.03123426 0.01604009 2.66203761
 0.06604528 0.04911399 0.04992104 0.04730153]","[0.         0.01562881 1.06374359 0.01565957 0.         0.94217801
 0.         0.01605296 0.01302576 0.03124809]"
4,10,gaussian,"[ 0.06790008 -0.29129453 -0.07836102  0.48920692 -0.15012934 -0.21609828
 -0.32458521  0.07843838 -0.15205892  0.39868888]","[ 0.15009783  0.13141698  0.0673284   0.07025847  0.064024    0.01383738
  0.09189796  0.0628035  -0.02317493  0.13364664]","[0.42495108 0.43429151 0.4663358  0.46487077 0.467988   0.49308131
 0.45405102 0.46859825 0.51158746 0.43317668]","[0.01562476 0.04731369 0.29767489 0.09419799 0.06292582 0.06249881
 3.81862926 0.04179549 0.07857656 6.66303802]","[0.         0.02217627 0.26651335 0.04989815 0.04730129 0.
 2.59313226 0.01561975 0.03167462 5.13782001]","[0.         0.00951838 0.0156343  0.01562595 0.01562452 0.
 0.64004803 0.         0.01562524 0.90742445]"
5,10,gaussian,"[-0.09319744 -0.30435041 -0.00713465  0.25617798 -0.37192956  0.02966047
 -0.0922804   0.06681605 -0.39652616  0.40317296]","[0.15604382 0.13677736 0.0924522  0.08287383 0.14368195 0.09796562
 0.12377949 0.02587331 0.12301281 0.01144177]","[0.42197809 0.43161132 0.4537739  0.45856309 0.42815903 0.45101719
 0.43811026 0.48706335 0.4384936  0.49427911]","[0.03067327 0.06952167 4.67150474 0.07856774 3.9087286  0.06294322
 0.04687262 0.06294012 7.41209888 0.09730816]","[0.01565289 0.02264404 2.6390388  0.04689431 2.58141947 0.04229617
 0.01562691 0.03166294 5.67499304 0.07859516]","[0.         0.03125119 1.20183849 0.0160439  0.78268528 0.02064705
 0.01562238 0.01564407 0.87862587 0.        ]"
6,10,gaussian,"[-0.18122496  0.02628195 -0.05066195  0.73714402  0.13113839 -0.45602106
 -0.55683478 -0.06418386  0.10207577  0.00747862]","[ 0.09593892  0.12495158  0.10919868  0.08211068 -0.00467803  0.09822221
  0.0432936   0.08308606 -0.01509618 -0.23519758]","[0.45203054 0.43752421 0.44540066 0.45894466 0.50233901 0.45088889
 0.4783532  0.45845697 0.50754809 0.61759879]","[1.08209157 4.30525255 0.1002121  0.07815361 0.06252551 4.63302159
 0.046803   0.10982275 0.1098392  0.5964458 ]","[0.75678825 2.78288126 0.         0.03125167 0.         3.08757162
 0.03127933 0.06252766 0.09065485 0.15555644]","[0.         0.86983109 0.01562691 0.015625   0.0156219  0.75963521
 0.01552367 0.0221529  0.01565719 0.4096117 ]"
7,10,gaussian,"[-0.15898383 -0.28552038  0.01907768  0.69233494  0.21054033 -0.10352236
 -0.63354066 -0.09128174 -0.30387279  0.25130925]","[0.17970937 0.14508023 0.12418254 0.05031278 0.07329821 0.13874605
 0.06846142 0.0799978  0.05275708 0.14415778]","[0.41014532 0.42745988 0.43790873 0.47484361 0.46335089 0.43062698
 0.46576929 0.4600011  0.47362146 0.42792111]","[0.02368164 0.07856011 0.21963787 0.06290865 0.06252241 4.19431281
 0.06730843 0.05489445 0.06252694 5.24542761]","[0.0080235  0.01604009 0.1612134  0.01664019 0.0468986  2.66174126
 0.02949309 0.02364802 0.03127432 4.16798472]","[0.         0.01562572 0.01562572 0.01562524 0.01562381 0.82947087
 0.02216482 0.01561952 0.01562309 0.45584655]"
8,10,gaussian,"[-0.17845931  0.04045072 -0.13058148  0.49340916 -0.06476771 -0.04413279
 -0.18312566 -0.16380862 -0.38424458 -0.20769864]","[0.16028621 0.12097184 0.09789468 0.10351536 0.0414664  0.13218079
 0.06487574 0.06599111 0.11859394 0.04237915]","[0.41985689 0.43951408 0.45105266 0.44824232 0.4792668  0.4339096
 0.46756213 0.46700444 0.44070303 0.47881043]","[0.03124881 0.04728413 0.06251073 3.46182823 0.07857275 3.3309176
 0.0629456  0.04687119 0.03528595 0.0468967 ]","[0.         0.         0.03125    2.1204555  0.04729152 2.09753036
 0.03126764 0.0156219  0.01566839 0.        ]","[0.         0.01814175 0.         0.67793226 0.         0.64788556
 0.01563811 0.01567149 0.01559162 0.0312717 ]"
9,10,gaussian,"[-0.23621803  0.0078386  -0.03461895  0.18918004 -0.67354158  0.08680514
 -0.40540161  0.05940206 -0.03964986 -0.13944225]","[0.16263173 0.11641383 0.10460748 0.02311745 0.08331226 0.07019929
 0.16075784 0.07315778 0.11270573 0.11824239]","[0.41868413 0.44179308 0.44769626 0.48844127 0.45834387 0.46490035
 0.41962108 0.46342111 0.44364713 0.44087881]","[0.015625   0.03728414 0.03125143 0.34550667 0.03124738 0.34547687
 0.08015108 0.06093192 0.02364254 0.03127408]","[0.         0.01564527 0.01562166 0.06692457 0.03124738 0.03126931
 0.04686594 0.02964926 0.01562238 0.        ]","[0.         0.         0.01562977 0.03477669 0.         0.00901389
 0.01563382 0.         0.00802016 0.        ]"
10,10,gaussian,"[-0.20403057 -0.07716611  0.0954805  -0.80174063 -0.55334955  0.04319633
  0.57201092  0.2619744   0.09985379 -0.08049085]","[ 0.13679672  0.10369299  0.10916288  0.08142392  0.04916652  0.14491347
 -0.02232862  0.08849394  0.18498901  0.1951113 ]","[0.43160164 0.4481535  0.44541856 0.45928804 0.47541674 0.42754326
 0.51116431 0.45575303 0.40750549 0.40244435]","[0.03126264 3.01199651 0.03835583 3.15749621 0.03442955 0.06543851
 0.03126979 0.04728889 0.04690099 0.35243201]","[0.         1.81762719 0.01562786 1.8638289  0.0187397  0.01553726
 0.         0.0070188  0.03127646 0.11455297]","[0.         0.85787463 0.00707006 0.79818988 0.01568985 0.01561999
 0.03126979 0.01562762 0.01562452 0.22005558]"
11,10,gaussian,"[-0.19723543 -0.03017463 -0.05203482  0.17118734 -0.09043599 -0.1838654
  0.08403173  0.13089382 -0.38851168 -0.10483085]","[ 0.0771302   0.16134271  0.11210291  0.14079316 -0.0390768   0.0138946
  0.10634269  0.09711019 -0.03005097 -0.01322009]","[0.4614349  0.41932864 0.44394855 0.42960342 0.5195384  0.4930527
 0.44682865 0.4514449  0.51502549 0.50661005]","[0.89404035 3.00053859 2.7333281  1.54029465 0.06253362 0.03167415
 0.03125691 0.0312407  0.05291414 0.06292319]","[0.47330213 1.83459997 1.73506331 1.22771168 0.06253362 0.01202393
 0.01562929 0.01562309 0.03726292 0.04678297]","[0.01562572 0.65439081 0.49166846 0.08660913 0.         0.01562309
 0.01562762 0.01561761 0.         0.01614022]"
12,10,gaussian,"[ 0.01632391  0.15276037 -0.19506878 -0.01382604 -0.01453289 -0.30068968
 -0.04634716  0.37632521 -0.05435859 -0.37250061]","[0.13294049 0.08357637 0.14824521 0.05792824 0.12855449 0.0392159
 0.10207717 0.04306314 0.0770532  0.01487349]","[0.43352976 0.45821181 0.4258774  0.47103588 0.43572275 0.48039205
 0.44896142 0.47846843 0.4614734  0.49256326]","[0.01561666 1.05439281 3.15604615 0.0473094  3.00965858 0.7883215
 0.29819012 0.04689741 0.0472939  0.34784341]","[0.         0.84447932 1.83027029 0.         1.83336043 0.68318343
 0.06258225 0.         0.03827763 0.06291723]","[0.00000000e+00 2.21455097e-02 8.74106169e-01 1.60322189e-02
 7.43156195e-01 2.15876102e-02 1.56168938e-02 1.56257153e-02
 9.01627541e-03 1.85728073e-04]"
13,10,gaussian,"[-0.12293905 -0.10485164  0.02247529  0.01207083 -0.15999863 -0.36571432
 -0.01981676  0.27867663 -0.37228425 -0.33291091]","[ 0.12875816  0.13235528  0.13698141  0.11008337  0.14377656  0.11212989
  0.14471596  0.06639074  0.05148332 -0.00486326]","[0.43562092 0.43382236 0.43150929 0.44495831 0.42811172 0.44393505
 0.42764202 0.46680463 0.47425834 0.50243163]","[0.0171566  3.29115009 3.42474246 0.03124237 0.34544206 2.78006387
 0.3007102  0.06251884 0.0322721  0.10983229]","[1.51324272e-03 1.80177116e+00 1.82590699e+00 1.56261921e-02
 2.35311985e-02 1.87438893e+00 8.11142921e-02 0.00000000e+00
 3.12500000e-02 7.85601139e-02]","[0.         0.91640759 1.19809532 0.         0.04687023 0.43361688
 0.01562643 0.0156467  0.         0.01562238]"
14,10,gaussian,"[-0.05933258  0.0785514  -0.02281452 -0.50971135  0.2059492  -0.11337276
 -0.06468164  0.29405009 -0.04183459 -0.50278942]","[ 0.13455091  0.08902417  0.13395133  0.13577519  0.10868501  0.09800045
 -0.13103346  0.07295269  0.00599201  0.10550889]","[0.43272455 0.45548792 0.43302434 0.4321124  0.44565749 0.45099978
 0.56551673 0.46352365 0.49700399 0.44724555]","[0.01562595 0.04728723 2.96890068 3.05084991 0.09422922 0.03125167
 0.12236977 0.04687476 0.04679489 4.42999148]","[0.         0.01563334 1.85535455 1.76117969 0.04694343 0.015625
 0.0785892  0.         0.03127146 3.46224284]","[0.         0.         0.63515019 0.79426551 0.02868176 0.01562667
 0.04378057 0.01562595 0.         0.45896792]"
15,10,gaussian,"[ 0.13957462  0.02395726 -0.26137263  0.02964413  0.2961004  -0.35453389
  0.37838187 -0.12979167 -0.19601406 -0.32759713]","[0.12273772 0.10234441 0.09212329 0.1677299  0.13830298 0.16997171
 0.06871094 0.05065768 0.17139101 0.00717613]","[0.43863114 0.44882779 0.45393836 0.41613505 0.43084851 0.41501414
 0.46564453 0.47467116 0.4143045  0.49641194]","[0.01561975 4.0485096  4.19422007 0.06292033 0.04687333 3.77244401
 0.15661693 0.04688382 3.90877128 0.0625248 ]","[0.         2.69517756 2.53463578 0.0316596  0.03125644 2.5186708
 0.12533545 0.03125978 2.57198644 0.03127742]","[0.         0.82301021 0.95153713 0.01562834 0.01561689 0.68733978
 0.         0.01562405 0.87465072 0.01561832]"
