,AV,SD,IR,VaR,MDD,P2T,P2P,P2PL,Calmar,Stability,Omega,Sortino,TailRatio,CSR,Kurtosis
1asset_sig_rev_ls,-60.45,42.32,-1.43,0.2,-2.86,729.0,,746.0,-0.21,0.73,0.78,-1.77,0.87,0.68,3.45
1asset_sig_rev_id,-60.45,42.32,-1.43,0.2,-2.86,729.0,,746.0,-0.21,0.73,0.78,-1.77,0.87,0.68,3.45
1asset_sig_pfrevers_sample,-21.34,25.09,-0.85,0.12,-1.75,712.0,,746.0,-0.12,0.87,0.77,-1.03,0.87,0.67,22.79
1asset_sig_pfrevers_nls,-21.34,25.09,-0.85,0.12,-1.75,712.0,,746.0,-0.12,0.87,0.77,-1.03,0.87,0.67,22.79
1asset_sig_pfrevers_ls,-21.34,25.09,-0.85,0.12,-1.75,712.0,,746.0,-0.12,0.87,0.77,-1.03,0.87,0.67,22.79
1asset_sig_pfrevers_id,-21.34,25.09,-0.85,0.12,-1.75,712.0,,746.0,-0.12,0.87,0.77,-1.03,0.87,0.67,22.79
1asset_sig_prs_sample,40.74,42.41,0.96,0.2,-1.29,333.0,710.0,710.0,0.32,0.55,1.18,1.5,1.09,1.29,3.6
1asset_sig_prs_nls,40.74,42.41,0.96,0.2,-1.29,333.0,710.0,710.0,0.32,0.55,1.18,1.5,1.09,1.29,3.6
1asset_sig_prs_ls,40.74,42.41,0.96,0.2,-1.29,333.0,710.0,710.0,0.32,0.55,1.18,1.5,1.09,1.29,3.6
1asset_sig_prs_id,40.74,42.41,0.96,0.2,-1.29,333.0,710.0,710.0,0.32,0.55,1.18,1.5,1.09,1.29,3.6
1asset_sig_rff_sample,-8.93,42.49,-0.21,0.2,-1.85,360.0,,746.0,-0.05,0.22,0.96,-0.28,1.03,0.99,3.68
1asset_sig_rff_nls,-8.93,42.49,-0.21,0.2,-1.85,360.0,,746.0,-0.05,0.22,0.96,-0.28,1.03,0.99,3.68
1asset_sig_rff_ls,-8.93,42.49,-0.21,0.2,-1.85,360.0,,746.0,-0.05,0.22,0.96,-0.28,1.03,0.99,3.68
1asset_sig_rff_id,-8.93,42.49,-0.21,0.2,-1.85,360.0,,746.0,-0.05,0.22,0.96,-0.28,1.03,0.99,3.68
5assets_sig_mtm_sample,12.99,11.14,1.17,0.05,-1.06,133.0,,746.0,0.12,0.9,1.28,1.78,1.46,1.86,7.35
5assets_sig_mtm_nls,12.8,11.08,1.16,0.05,-1.05,116.0,,746.0,0.12,0.91,1.27,1.77,1.4,1.78,7.14
5assets_sig_mtm_ls,17.31,23.92,0.72,0.11,-1.24,136.0,,746.0,0.14,0.72,1.15,1.13,1.06,1.23,10.76
5assets_sig_mtm_id,26.69,27.07,0.99,0.13,-1.11,136.0,,746.0,0.24,0.86,1.2,1.53,1.15,1.38,4.53
5assets_sig_mcd_sample,-5.61,8.09,-0.69,0.04,-1.17,670.0,,746.0,-0.05,0.94,0.81,-0.9,0.9,0.73,112.01
5assets_sig_mcd_nls,-5.57,8.29,-0.67,0.04,-1.17,670.0,,746.0,-0.05,0.94,0.81,-0.88,0.9,0.73,117.09
5assets_sig_mcd_ls,-5.58,8.18,-0.68,0.04,-1.17,670.0,,746.0,-0.05,0.93,0.81,-0.88,0.96,0.77,114.14
5assets_sig_mcd_id,-6.16,11.27,-0.55,0.05,-1.21,634.0,,746.0,-0.05,0.65,0.84,-0.7,0.96,0.81,77.94
5assets_sig_mean_rev_sample,5.06,14.94,0.34,0.07,-1.18,71.0,,746.0,0.04,0.48,1.09,0.53,0.94,1.03,14.33
5assets_sig_mean_rev_nls,5.46,14.8,0.37,0.07,-1.17,71.0,,746.0,0.05,0.5,1.1,0.58,1.02,1.12,14.1
5assets_sig_mean_rev_ls,4.61,14.32,0.32,0.07,-1.16,71.0,,746.0,0.04,0.51,1.08,0.5,1.02,1.1,15.68
5assets_sig_mean_rev_id,6.25,18.29,0.34,0.08,-1.09,7.0,,746.0,0.06,0.28,1.09,0.52,1.02,1.11,16.7
5assets_sig_rev_sample,3.34,11.4,0.29,0.05,-1.02,8.0,,746.0,0.03,0.31,1.07,0.44,1.09,1.17,10.84
5assets_sig_rev_nls,3.01,11.39,0.26,0.05,-1.02,8.0,,746.0,0.03,0.33,1.06,0.4,1.14,1.21,10.95
5assets_sig_rev_ls,2.33,11.41,0.2,0.05,-1.02,8.0,,746.0,0.02,0.4,1.05,0.31,1.16,1.21,12.04
5assets_sig_rev_id,-0.34,13.63,-0.03,0.06,-1.19,446.0,,746.0,-0.0,0.05,0.99,-0.03,1.12,1.11,12.36
5assets_sig_pfrevers_sample,-3.46,6.73,-0.51,0.03,-1.13,715.0,,746.0,-0.03,0.78,0.89,-0.69,0.84,0.75,10.45
5assets_sig_pfrevers_nls,-3.68,6.71,-0.55,0.03,-1.14,715.0,,746.0,-0.03,0.8,0.88,-0.73,0.85,0.75,10.37
5assets_sig_pfrevers_ls,-3.66,6.67,-0.55,0.03,-1.14,717.0,,746.0,-0.03,0.81,0.88,-0.73,0.87,0.77,9.92
5assets_sig_pfrevers_id,0.55,9.51,0.06,0.04,-1.09,303.0,,746.0,0.01,0.44,1.01,0.08,1.01,1.02,14.15
5assets_sig_prs_sample,-3.82,6.55,-0.58,0.03,-1.12,705.0,,746.0,-0.03,0.78,0.89,-0.81,0.91,0.82,5.26
5assets_sig_prs_nls,-3.84,6.5,-0.59,0.03,-1.12,705.0,,746.0,-0.03,0.78,0.89,-0.82,0.93,0.83,4.98
5assets_sig_prs_ls,-3.63,6.35,-0.57,0.03,-1.12,705.0,,746.0,-0.03,0.76,0.9,-0.79,0.94,0.84,4.82
5assets_sig_prs_id,-3.6,8.24,-0.44,0.04,-1.21,397.0,,746.0,-0.03,0.03,0.91,-0.58,0.98,0.9,10.9
5assets_sig_rff_sample,-2.15,15.72,-0.14,0.07,-1.17,735.0,,746.0,-0.02,0.08,0.96,-0.16,1.01,0.97,122.79
5assets_sig_rff_nls,-1.76,15.58,-0.11,0.07,-1.16,735.0,,746.0,-0.02,0.09,0.96,-0.14,1.03,0.99,120.4
5assets_sig_rff_ls,-0.68,10.14,-0.07,0.05,-1.08,415.0,,746.0,-0.01,0.07,0.98,-0.09,1.06,1.04,30.37
5assets_sig_rff_id,1.32,12.22,0.11,0.06,-1.15,547.0,,746.0,0.01,0.4,1.02,0.15,1.0,1.02,4.47
10assets_sig_mtm_sample,4.56,6.31,0.72,0.03,-1.02,61.0,,746.0,0.04,0.86,1.15,1.08,1.12,1.29,5.4
10assets_sig_mtm_nls,4.99,6.19,0.81,0.03,-1.01,46.0,,746.0,0.05,0.9,1.17,1.21,1.21,1.42,5.33
10assets_sig_mtm_ls,15.04,21.55,0.7,0.1,-1.08,136.0,,746.0,0.14,0.61,1.14,1.02,0.97,1.1,7.44
10assets_sig_mtm_id,27.98,27.06,1.03,0.13,-1.09,136.0,,746.0,0.26,0.83,1.21,1.58,1.11,1.35,3.23
10assets_sig_mcd_sample,-2.89,4.07,-0.71,0.02,-1.11,657.0,,746.0,-0.03,0.77,0.87,-0.93,0.89,0.77,18.78
10assets_sig_mcd_nls,-3.27,4.07,-0.8,0.02,-1.12,657.0,,746.0,-0.03,0.77,0.85,-1.04,0.9,0.76,20.65
10assets_sig_mcd_ls,-3.31,4.08,-0.81,0.02,-1.13,657.0,,746.0,-0.03,0.76,0.85,-1.04,0.88,0.75,20.82
10assets_sig_mcd_id,-5.78,7.78,-0.74,0.04,-1.22,416.0,,746.0,-0.05,0.73,0.84,-0.95,1.11,0.92,40.3
10assets_sig_mean_rev_sample,4.66,7.97,0.58,0.04,-1.15,112.0,,746.0,0.04,0.7,1.15,0.93,1.06,1.22,27.73
10assets_sig_mean_rev_nls,4.39,7.77,0.57,0.04,-1.15,112.0,,746.0,0.04,0.69,1.15,0.9,1.09,1.25,26.91
10assets_sig_mean_rev_ls,4.29,7.56,0.57,0.04,-1.15,112.0,,746.0,0.04,0.7,1.15,0.89,1.04,1.2,24.52
10assets_sig_mean_rev_id,4.73,12.64,0.37,0.06,-1.07,43.0,,746.0,0.04,0.37,1.09,0.56,1.21,1.31,8.85
10assets_sig_rev_sample,-0.25,5.97,-0.04,0.03,-1.08,283.0,,746.0,-0.0,0.12,0.99,-0.06,0.95,0.94,15.48
10assets_sig_rev_nls,0.24,5.94,0.04,0.03,-1.07,283.0,,746.0,0.0,0.2,1.01,0.06,0.95,0.96,14.51
10assets_sig_rev_ls,0.18,5.84,0.03,0.03,-1.07,11.0,,746.0,0.0,0.23,1.01,0.04,1.07,1.08,14.93
10assets_sig_rev_id,-6.81,13.37,-0.51,0.06,-1.22,729.0,,746.0,-0.06,0.29,0.89,-0.68,0.94,0.83,11.21
10assets_sig_pfrevers_sample,2.81,3.84,0.73,0.02,-1.01,48.0,,746.0,0.03,0.36,1.17,1.15,1.16,1.35,6.69
10assets_sig_pfrevers_nls,2.49,3.79,0.66,0.02,-1.01,48.0,,746.0,0.02,0.32,1.15,1.03,1.19,1.36,6.54
10assets_sig_pfrevers_ls,2.63,3.78,0.69,0.02,-1.01,48.0,,746.0,0.03,0.34,1.15,1.09,1.25,1.45,6.69
10assets_sig_pfrevers_id,1.62,7.55,0.21,0.04,-1.07,303.0,,746.0,0.02,0.01,1.05,0.3,1.0,1.05,14.85
10assets_sig_prs_sample,-0.95,3.18,-0.3,0.01,-1.04,10.0,,746.0,-0.01,0.05,0.94,-0.4,1.02,0.95,8.43
10assets_sig_prs_nls,-1.07,3.12,-0.34,0.01,-1.04,10.0,,746.0,-0.01,0.17,0.93,-0.46,1.03,0.95,8.58
10assets_sig_prs_ls,-1.12,3.0,-0.37,0.01,-1.04,10.0,,746.0,-0.01,0.12,0.92,-0.5,0.99,0.91,8.23
10assets_sig_prs_id,-5.35,5.35,-1.0,0.02,-1.21,398.0,,746.0,-0.04,0.04,0.78,-1.16,0.93,0.73,65.79
10assets_sig_rff_sample,0.33,2.13,0.16,0.01,-1.02,703.0,,746.0,0.0,0.09,1.04,0.25,0.95,0.99,34.67
10assets_sig_rff_nls,0.35,2.08,0.17,0.01,-1.02,703.0,,746.0,0.0,0.1,1.04,0.26,0.96,1.01,29.25
10assets_sig_rff_ls,-0.0,2.04,-0.0,0.01,-1.02,703.0,,746.0,-0.0,0.4,1.0,-0.0,1.04,1.04,22.71
10assets_sig_rff_id,-0.69,4.65,-0.15,0.02,-1.07,704.0,,746.0,-0.01,0.62,0.96,-0.2,1.01,0.97,12.65
30assets_sig_mtm_sample,1.05,3.27,0.32,0.02,-1.0,40.0,,746.0,0.01,0.64,1.07,0.5,1.02,1.09,6.49
30assets_sig_mtm_nls,0.6,3.02,0.2,0.01,-1.0,40.0,,746.0,0.01,0.48,1.04,0.29,1.13,1.17,5.9
30assets_sig_mtm_ls,17.23,23.98,0.72,0.11,-1.06,44.0,,746.0,0.16,0.54,1.15,1.04,1.13,1.3,4.38
30assets_sig_mtm_id,35.86,38.63,0.93,0.18,-1.23,136.0,712.0,712.0,0.29,0.95,1.2,1.4,0.99,1.18,6.96
30assets_sig_mcd_sample,0.5,1.75,0.29,0.01,-1.01,137.0,,746.0,0.0,0.31,1.06,0.38,1.07,1.14,16.87
30assets_sig_mcd_nls,0.14,1.69,0.08,0.01,-1.01,149.0,,746.0,0.0,0.03,1.02,0.11,1.03,1.05,16.39
30assets_sig_mcd_ls,0.15,1.66,0.09,0.01,-1.02,149.0,,746.0,0.0,0.08,1.02,0.12,1.03,1.05,17.3
30assets_sig_mcd_id,-3.67,5.39,-0.68,0.02,-1.14,619.0,,746.0,-0.03,0.86,0.83,-0.83,1.01,0.83,101.65
30assets_sig_mean_rev_sample,1.97,2.91,0.68,0.01,-1.04,205.0,,746.0,0.02,0.66,1.14,0.95,1.01,1.15,6.8
30assets_sig_mean_rev_nls,1.44,2.75,0.52,0.01,-1.05,205.0,,746.0,0.01,0.49,1.1,0.73,1.02,1.13,5.15
30assets_sig_mean_rev_ls,-0.83,2.89,-0.29,0.01,-1.09,251.0,,746.0,-0.01,0.0,0.95,-0.38,0.99,0.94,6.25
30assets_sig_mean_rev_id,-1.12,8.08,-0.14,0.04,-1.07,226.0,,746.0,-0.01,0.15,0.97,-0.19,1.0,0.97,7.24
30assets_sig_rev_sample,0.46,3.66,0.12,0.02,-1.02,37.0,,746.0,0.0,0.02,1.03,0.2,0.88,0.91,16.56
30assets_sig_rev_nls,0.65,3.47,0.19,0.02,-1.01,37.0,,746.0,0.01,0.08,1.04,0.3,0.96,1.0,14.47
30assets_sig_rev_ls,0.33,3.34,0.1,0.02,-1.02,423.0,,746.0,0.0,0.0,1.02,0.15,1.05,1.08,14.05
30assets_sig_rev_id,1.76,10.13,0.17,0.05,-1.07,43.0,,746.0,0.02,0.01,1.04,0.25,1.04,1.08,17.01
30assets_sig_pfrevers_sample,1.7,1.97,0.86,0.01,-1.0,46.0,,746.0,0.02,0.66,1.21,1.29,1.12,1.34,11.42
30assets_sig_pfrevers_nls,2.33,1.87,1.25,0.01,-1.0,46.0,,746.0,0.02,0.83,1.3,1.94,1.16,1.5,7.7
30assets_sig_pfrevers_ls,2.6,1.86,1.4,0.01,-1.0,1.0,,746.0,0.03,0.84,1.34,2.22,1.12,1.5,6.24
30assets_sig_pfrevers_id,1.84,4.18,0.44,0.02,-1.02,277.0,,746.0,0.02,0.51,1.1,0.62,1.1,1.21,14.14
30assets_sig_prs_sample,0.05,1.6,0.03,0.01,-1.02,176.0,,746.0,0.0,0.56,1.01,0.05,0.96,0.97,8.79
30assets_sig_prs_nls,-0.03,1.52,-0.02,0.01,-1.03,176.0,,746.0,-0.0,0.55,1.0,-0.03,0.94,0.94,9.12
30assets_sig_prs_ls,-0.26,1.5,-0.17,0.01,-1.03,176.0,,746.0,-0.0,0.34,0.97,-0.25,0.94,0.91,7.97
30assets_sig_prs_id,0.36,3.38,0.11,0.02,-1.09,189.0,,746.0,0.0,0.36,1.02,0.15,1.03,1.06,6.55
30assets_sig_rff_sample,0.36,1.43,0.25,0.01,-1.02,377.0,,746.0,0.0,0.1,1.05,0.37,0.99,1.04,5.05
30assets_sig_rff_nls,0.35,1.38,0.25,0.01,-1.01,377.0,,746.0,0.0,0.02,1.05,0.37,0.98,1.02,4.85
30assets_sig_rff_ls,0.47,1.56,0.3,0.01,-1.01,393.0,,746.0,0.0,0.06,1.06,0.45,1.12,1.18,6.33
30assets_sig_rff_id,-2.48,4.69,-0.53,0.02,-1.08,589.0,,746.0,-0.02,0.87,0.89,-0.73,0.97,0.87,25.46
