,AV,SD,IR,VaR,MDD,P2T,P2P,P2PL,Calmar,Stability,Omega,Sortino,TailRatio,CSR,Kurtosis
1asset_sig_rff,-3.28,42.49,-0.08,0.2,-1.63,550.0,,746.0,-0.02,0.12,0.99,-0.11,0.89,0.88,3.72
5assets_sig_rff,-10.58,47.56,-0.22,0.22,-1.73,120.0,,746.0,-0.06,0.24,0.96,-0.31,1.03,0.99,6.73
10assets_sig_rff,-6.03,34.72,-0.17,0.16,-1.63,120.0,,746.0,-0.04,0.03,0.97,-0.24,1.04,1.01,6.34
30assets_sig_rff,8.51,35.07,0.24,0.16,-1.09,10.0,,746.0,0.08,0.0,1.04,0.37,1.11,1.15,2.07
