date,cca_w_1,cca_w_2,cca_w_3
2001-01-04,[ 0.05994005 -0.4750853   0.55993154],[-0.48304315 -0.53434008 -0.80460843],[-0.44851667  0.35084375  0.23825453]
2001-01-05,[ 0.05276752 -0.46168014  0.57159525],[-0.46288867 -0.5544108  -0.80237732],[-0.4553762   0.34686583  0.22348496]
2001-01-08,[ 0.04648199 -0.5416635   0.49596067],[-0.45572405 -0.42769035 -0.87833015],[-0.45670235  0.31109514  0.26583464]
2001-01-09,[ 0.06823736 -0.5960522   0.42905319],[-0.46319697 -0.33631516 -0.91374568],[-0.45937648  0.26498917  0.30761401]
2001-01-10,[-0.09588645  0.69680572  0.22745559],[ 0.42992984  0.06154713 -0.9830792 ],[ 0.47549263 -0.13386633  0.36214652]
