date,cca_w_1,cca_w_2,cca_w_3
2001-01-04,[-0.03493339  0.72393103  0.13238469],[ 0.36555222 -0.1092727  -1.010285  ],[ 0.49163248 -0.12377148  0.35213902]
2001-01-05,[-0.0272512   0.72596552  0.1220063 ],[ 0.3500651  -0.12944057 -1.01298874],[ 0.49500653 -0.11709287  0.34479951]
2001-01-08,[-0.02450149  0.72536887  0.12155897],[ 0.34995079 -0.12905976 -1.01140759],[ 0.49386811 -0.12059407  0.3428945 ]
2001-01-09,[-0.05204449  0.72388186  0.13155849],[ 0.35643651 -0.09862805 -1.01282576],[ 0.49843246 -0.10532676  0.341092  ]
2001-01-10,[-0.09044489  0.72686455  0.0997803 ],[ 0.31856015 -0.12586467 -1.01870012],[ 0.51567623 -0.05822667  0.32534786]
